Organisation Name,Town/City,County,Type & Rating,Route
Artisanne Limited,Liverpool,Unknown,Worker (A rating),Skilled Worker
Artond Ltd,Leicester,Unknown,Worker (A rating),Skilled Worker
Aruna Gamage Ltd,Winscombe,Unknown,Worker (A rating),Skilled Worker
Asa Express Limited,Solihull,Unknown,Worker (A rating),Skilled Worker
Ascendion Engineering Solutions Europe Limited,London,Unknown,Worker (A rating),Skilled Worker
Ascendion Engineering Solutions Europe Limited,London,Unknown,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Assistory Ltd,Manchester,Unknown,Worker (A rating),Skilled Worker
Asteros Advisers,London,Unknown,Worker (A rating),Skilled Worker
At Your Side Care Ltd T/A Goodoaks Homecare - Bedford,Bedford,Bedfordshire,Worker (A rating),Skilled Worker
Austin Partnership Limited,Cardiff,Unknown,Worker (A rating),Skilled Worker
Autism West Midlands,Birmingham,West Midlands,Worker (A rating),Skilled Worker
Autowave Limited,Nottingham,Unknown,Worker (A rating),Skilled Worker
Av Supra Ltd T/A Tapri Junction,Harrow,Unknown,Worker (A rating),Skilled Worker
Aviator75 Ltd,Manchester,Unknown,Worker (A rating),Skilled Worker
Avista Law Ltd,Morden,Surrey,Worker (A rating),Skilled Worker
B&M Exotic Fruits & Veg Ltd,BIRMINGHAM,Unknown,Worker (A rating),Skilled Worker
Baatpakki Limited,Croydon,Unknown,Worker (A rating),Skilled Worker
Baja Foods Limited,London,Unknown,Worker (A rating),Skilled Worker
Balmoral Comtec Limited,Aberdeen,Unknown,Worker (A rating),Skilled Worker
Baloglu Ltd,London,Unknown,Worker (A rating),Skilled Worker
Banbury Butchers Ltd,Banbury,Unknown,Worker (A rating),Skilled Worker
Barntwist Ltd T/A Lings Chemist,LONDON,Unknown,Worker (A rating),Skilled Worker
Barones Uk Ltd,LONDON,UNITED KINGDOM,Worker (A rating),Skilled Worker
Basmati Locks Heath Limited,Southampton,Hampshire,Worker (A rating),Skilled Worker
Bavanmore Farm Ltd,Newry,Unknown,Worker (A rating),Skilled Worker
Beacon Health Kensington Limited,Liverpool,Unknown,Worker (A rating),Skilled Worker
Beauly Mini Market Ltd T/A Beauly Mini Market,Dundee,Unknown,Worker (A rating),Skilled Worker
Beith General Store,Beith,Unknown,Worker (A rating),Skilled Worker
Bengazi Career Engagement Ltd,LONDON,Unknown,Worker (A rating),Skilled Worker
Berryworld Ltd,Cheshunt,Unknown,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Berryworld Ltd,Cheshunt,Unknown,Worker (A rating),Skilled Worker
Bestbuy 24/7 Ltd T/A Bp,Ormesby,Middlesbrough,Worker (A rating),Skilled Worker
Bevan & Clarke Llp,PORT TALBOT,West Glamorgan,Worker (A rating),Skilled Worker
Bibimbap Ltd,Sheffield,Unknown,Worker (A rating),Skilled Worker
Bidwells Llp,Cambridge,Cambridgeshire,Worker (A rating),Skilled Worker
Bierley Superstore And Post Office,Bradford,West Yorkshire,Worker (A rating),Skilled Worker
Bilal Hassan T/A Legalex Solicitors,Ilford,Unknown,Worker (A rating),Skilled Worker
Billinge Discount Ltd,Wigan,England,Worker (A rating),Skilled Worker
Bindethics Ltd,Leeds,Unknown,Worker (A rating),Skilled Worker
Bingi'S Kitchen Ltd,BELFAST,NORTHERN IRELAND,Worker (A rating),Skilled Worker
Bistro1,London,Unknown,Worker (A rating),Skilled Worker
Bizzle Entertainment Ltd,LONDON,Unknown,Temporary Worker (A rating),Creative Worker
Blakehill Healthcare Limited,Chippenham,Unknown,Worker (A rating),Skilled Worker
Blazehill Capital Limited,London,Unknown,Worker (A rating),Skilled Worker
Blink Charging Uk Ltd,St Albans,Hertfordshire,Worker (A rating),Skilled Worker
Blk Cab Coffee Ltd,London,Unknown,Worker (A rating),Skilled Worker
Bls Burnells Limited,Uxbridge,Middlesex,Worker (A rating),Skilled Worker
Blue Strawberry Ai Ltd,Sandwich,Kent,Worker (A rating),Skilled Worker
Bluesky International Ltd,Ashby de la Zouch,Leicestershire,Worker (A rating),Skilled Worker
Bluewavesconsult Ltd,Lincoln,Unknown,Worker (A rating),Skilled Worker
Bodhigyan Meditation & Cultural Centre Uk,RAINHAM,Unknown,Temporary Worker (A rating),Religious Worker
Bolders Consulting Group Ltd,London,Central,Worker (A rating),Skilled Worker
Boltnn Ltd,BOLTON,LANCASHIRE,Worker (A rating),Skilled Worker
Bosss (Uk) Limited,Gerrards Cross,Buckinghamshire,Worker (A rating),Skilled Worker
Boverton Post Office And Stores,SOUTH WALES,Unknown,Worker (A rating),Skilled Worker
Bradford Road Car Sales Ltd,Manchester,Unknown,Worker (A rating),Skilled Worker
Bradford Sports & Kabaddi Club Ltd,Bradford,Unknown,Worker (A rating),International Sportsperson
Bread Bread Ltd,London,Unknown,Worker (A rating),Skilled Worker
Briggs Commercial Limited,Burntisland,Fife,Worker (A rating),Skilled Worker
Bristol Waste Company Ltd.,Bristol,Unknown,Worker (A rating),Skilled Worker
Britannia Social Care Ltd,Wolverhampton,West Midlands,Worker (A rating),Skilled Worker
Broadfield Law Uk Llp,London,Unknown,Worker (A rating),Skilled Worker
Bromley By Bow Health Partnership,Bromley By Bow,London,Worker (A rating),Skilled Worker
Bu Bregal Unternehmerkapital Uk Ltd,London,Unknown,Worker (A rating),Skilled Worker
Bubble It Solutions Limited,Nottingham,Unknown,Worker (A rating),Skilled Worker
Burgernomics (T/As Mcdonald'S),Hitchin,Unknown,Worker (A rating),Skilled Worker
Bx Technologies Ltd,London,Unknown,Worker (A rating),Skilled Worker
Cafe Malabar Ltd,Colchester,Unknown,Worker (A rating),Skilled Worker
Calabash Mint Limited,SURBITON,Unknown,Worker (A rating),Skilled Worker
Caldero Holdings Ltd,Leeds,Unknown,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Caldero Holdings Ltd,Leeds,Unknown,Worker (A rating),Skilled Worker
Camberley Visionplus Limited T/A Specsavers,Camberley,Surrey,Worker (A rating),Skilled Worker
Camphill Community Holywood,Holywood,Down,Worker (A rating),Skilled Worker
Care And Homes Limited,London,essex,Worker (A rating),Skilled Worker
Care Signature Christian Homecare Services,Leeds,England,Worker (A rating),Skilled Worker
Carenest Solutions Ltd,Borehamwood,Hertfordshire,Worker (A rating),Skilled Worker
Caresure Limited,Cumbria,Unknown,Worker (A rating),Skilled Worker
Carewithloveco Ltd T/A Esgo,Harrow,Unknown,Worker (A rating),Skilled Worker
Cargo Overseas Limited,Manchester,Unknown,Worker (A rating),Skilled Worker
Caring Angels Ltd,Norfolk,Unknown,Worker (A rating),Skilled Worker
Carlton Cricket Club,Wakefield,West Yorkshire,Worker (A rating),International Sportsperson
Carluke Dignity Care Ltd,Carluke,Unknown,Worker (A rating),Skilled Worker
Caudalie Group Limited,London,Unknown,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Caudalie Group Limited,London,Unknown,Worker (A rating),Skilled Worker
Caxton Associates Llp,London,Unknown,Worker (A rating),Skilled Worker
Cb Opportunities 2 Ltd,Stadhampton,Oxfordshire,Worker (A rating),Skilled Worker
"Celestial Church Of Christ, Mountain Of New Glory Parish (Ori Oke Ogo Titun)",Manchester,Greater Manchester,Worker (A rating),Tier 2 Ministers of Religion
Central Bedrooms And Kitchens Limited,Uxbridge,Unknown,Worker (A rating),Skilled Worker
Centric Brands International Europe,London,Unknown,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Centric Brands International Europe,London,Unknown,Worker (A rating),Skilled Worker
Centry Services Limited,London,Unknown,Worker (A rating),Skilled Worker
Cetra Housing Co-Operative Limited,London,Unknown,Worker (A rating),Skilled Worker
Ceylon Tea Shop (Uk) Ltd,SHEFFIELD,Unknown,Worker (UK Expansion Worker: Provisional),Global Business Mobility: UK Expansion Worker
Cg Grill Ltd,Rochdale,Unknown,Worker (A rating),Skilled Worker
Chamber Media Ltd,London,Unknown,Worker (UK Expansion Worker: Provisional),Global Business Mobility: UK Expansion Worker
Chamunda Krupa Ltd T/A Bilston News,Wolverhampton,Unknown,Worker (A rating),Skilled Worker
Chatsworth Convenience Store,Fleetwood,Lancashire,Worker (A rating),Skilled Worker
Chemical Dynamics Enterprises Uk Ltd,London,Unknown,Worker (A rating),Global Business Mobility: UK Expansion Worker
Cherry Two Ltd T/A Bistrot Pierre,London,Unknown,Worker (A rating),Skilled Worker
Cherubins Day Nursery,London,Unknown,Worker (A rating),Skilled Worker
Chester Fresh Pasta Kitchen Limited,Manchester,Unknown,Worker (A rating),Skilled Worker
Chestnut Court Care Home,New Milton,Unknown,Worker (A rating),Skilled Worker
Chilli Masala Of Menai Bridge Ltd T/A Taste Of India,Menai Bridge,Gwynedd,Worker (A rating),Skilled Worker
Chinatown 888 Ltd,Sheffield,Unknown,Worker (A rating),Skilled Worker
Churchill Health Care Ltd,LUTON,Unknown,Worker (A rating),Skilled Worker
Ciaro Ltd,Birmingham,Unknown,Worker (A rating),Skilled Worker
City Elite Cars Ltd,Birmingham,England,Worker (A rating),Skilled Worker
City Leisure Management Limited  T/A Rosa Twelve,Gateshead,Unknown,Worker (A rating),Skilled Worker
City Mot Dobbs Street Ltd,Wolverhampton,Unknown,Worker (A rating),Skilled Worker
Citygate Automotive Ltd,South Ruislip,Unknown,Worker (A rating),Skilled Worker
Claranet Ltd,London,Unknown,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Classic Global Services Limited,Pontypridd,Mid Glamorgan,Worker (A rating),Skilled Worker
Clear Water Events Ltd,Halesowen,West Midlands,Worker (A rating),Skilled Worker
Click Entertainment Ltd,Croydon,London,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Cloudkeepers London Ltd,London,Unknown,Worker (A rating),Skilled Worker
Cm Telecom Uk Ltd,Tonbridge,Unknown,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Cm Telecom Uk Ltd,Tonbridge,Unknown,Worker (A rating),Skilled Worker
Cognita Consultancy Limited,London,London,Worker (A rating),Skilled Worker
Colliers Hotel,London,Unknown,Worker (A rating),Skilled Worker
Comfort Homes And Care Ltd,Birmingham,West Midlands,Worker (A rating),Skilled Worker
Commoditrade Limited,Carshalton,Unknown,Worker (A rating),Skilled Worker
Conro Electronics Ltd,Pitstone,Buckinghamshire,Worker (A rating),Skilled Worker
Consulate Of The State Of Libya,London,Unknown,Temporary Worker (A rating),International Agreement
Contract & Construction Consultants (Southern) Limited,Bristod,Unknown,Worker (A rating),Skilled Worker
Copious Limited,Rochdale,Unknown,Worker (A rating),Skilled Worker
County Care Homes Limited T/A Norwood House,Ilford,Essex,Worker (A rating),Skilled Worker
Cove Retailers Ltd,ABERDEEN,Unknown,Worker (A rating),Skilled Worker
Creative Entertainment Two Ltd,London,Unknown,Worker (A rating),Skilled Worker
Crex Technologies Limited,London,Unknown,Worker (A rating),Skilled Worker
Crown Care Solutions Ltd,Hampshire,Unknown,Worker (A rating),Skilled Worker
Crsm Consulting Ltd,Luton,Unknown,Worker (A rating),Skilled Worker
Cs Hub Ltd,Tunbridge Wells,Unknown,Worker (A rating),Skilled Worker
Cudo Ventures Ltd,Bournemouth,Unknown,Worker (A rating),Skilled Worker
Currock Engineering Company Ltd.,Chelmsford,Essex,Worker (A rating),Skilled Worker
Cyber Alarm Limited,London,Unknown,Worker (A rating),Skilled Worker
D. Mcghee & Sons Ltd,Glasgow,Unknown,Worker (A rating),Skilled Worker
D:Class Automotive Limited,Chobham,Surrey,Worker (A rating),Skilled Worker
D2 Network Associates Limited,Stoke on Trent,Unknown,Worker (A rating),Skilled Worker
Dac Limited,Sabden,Lancashire,Worker (A rating),Skilled Worker
Darkocean Marine Ltd.,Hampshire,Eastleigh,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Darkocean Marine Ltd.,Hampshire,Eastleigh,Worker (A rating),Skilled Worker
Das Blue Limited,Ipswich,Unknown,Worker (A rating),Skilled Worker
Daxa Patel,London,Unknown,Worker (A rating),Skilled Worker
Deanhouse Interiors Limited,Holmfirth,Unknown,Worker (A rating),Skilled Worker
Defichi Ltd,London,Unknown,Worker (A rating),Skilled Worker
Dentogenics,Harrogate,Unknown,Worker (A rating),Skilled Worker
Devicenow Uk Ltd,Egham,Surrey,Worker (A rating),Skilled Worker
Diamond Health Care Solutions Ltd,Coventry,West Midlands,Worker (A rating),Skilled Worker
Diamond Meds Limited,Fetcham,Leatherhead,Worker (A rating),Skilled Worker
Diehl Metering Limited,Halifax,West Yorkshire,Worker (A rating),Skilled Worker
Dilli 6 Limited T/A Delhi By Nature,Surbiton,Surrey,Worker (A rating),Skilled Worker
Divinity Mk Scans Limited,Shinfield,Berkshire,Worker (A rating),Skilled Worker
Docsni Limited T/A Docs Fish & Chips,NEWCASTLE,NORTHERN IRELAND,Worker (A rating),Skilled Worker
Dore Partnership Limited,London,Unknown,Worker (A rating),Skilled Worker
Dorset Country Hotel Limited,BRIDPORT,DORSET,Worker (A rating),Skilled Worker
Dover Grammar School For Boys,Dover,Kent,Worker (A rating),Skilled Worker
Drennan Consultancy Limited,Coleraine,Unknown,Worker (A rating),Skilled Worker
Drinks On Us Limited,Bradford,West Yorkshire,Worker (A rating),Skilled Worker
Duke Medical Centre,Sheffield,South Yorkshire,Worker (A rating),Skilled Worker
Dunstall Cricket Club,Burton-upon-Trent,Staffordshire,Worker (A rating),International Sportsperson
Dutta And Sons Limited,Derby,Unknown,Worker (A rating),Skilled Worker
E17 Nails Ltd,London,London,Worker (A rating),Skilled Worker
Eagle Power Ministries International,CARSHALTON,Unknown,Worker (A rating),Tier 2 Ministers of Religion
East Lancashire Moneyline (Ips) Ltd,Accrington,Lancashire,Worker (A rating),Skilled Worker
Eco Alba Limited,Kirkcaldy,FIFE,Worker (A rating),Skilled Worker
Edgerate Limited,Hemel Hempstead,Unknown,Worker (A rating),Skilled Worker
Edi Coffee Ltd Tas Black Sheep Coffee,Edinburgh,Unknown,Worker (A rating),Skilled Worker
Edinburgh Homecare T/A Meloosha Homecare Edinburgh,Edinburgh,Scotland,Worker (A rating),Skilled Worker
Edward Banner-Eve,Bishops Stortford,Hertfordshire,Worker (A rating),International Sportsperson
Eeze Old School House Ltd,London,London,Worker (A rating),Skilled Worker
Elmustafa Ltd T/A The Ottoman Doner,London,Unknown,Worker (A rating),Skilled Worker
Emergency One,Cumnock,Unknown,Worker (A rating),Skilled Worker
Entertainers Agency Ltd,London,Unknown,Temporary Worker (A rating),Creative Worker
Equal Experts Uk Limited,London,Unknown,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Equal Experts Uk Limited,London,Unknown,Worker (A rating),Skilled Worker
Erly Stage Studios Ltd,Nine Elms,London,Worker (A rating),Skilled Worker
Essex Food Centre,Westcliff-on-Sea,Unknown,Worker (A rating),Skilled Worker
Exclusive Networks Limited,Hampshire,Unknown,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Exclusive Networks Limited,Hampshire,Unknown,Worker (A rating),Skilled Worker
Exelot Uk Ltd,Gerrards Cross,Unknown,Worker (A rating),Skilled Worker
Express News And Magazines Limited,CROMER,NORFOLK,Worker (A rating),Skilled Worker
Fair Shot,London,Unknown,Worker (A rating),Skilled Worker
Farnworth Baptist Church/Tlg Bolton,Farnworth,Bolton,Worker (A rating),Tier 2 Ministers of Religion
Fd Law Limited T/A Hayes Connor Solicitors,Warrington,Unknown,Worker (A rating),Skilled Worker
Field View Care Home Ltd,Redditch,Unknown,Worker (A rating),Skilled Worker
"First Up, S.L.U T/A Master Stonemasons (Uk Establishment)",Sutton Coldfield,Unknown,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
"First Up, S.L.U T/A Master Stonemasons (Uk Establishment)",Sutton Coldfield,Unknown,Worker (A rating),Skilled Worker
Fishgate Consulting Limited,Kent,Unknown,Worker (A rating),Skilled Worker
Flordius Chiropractic Ltd T/A Saltaire Chiropractic Clinic,Shipley,West Yorkshire,Worker (A rating),Skilled Worker
Fluorochem Ltd,Hadfield,Derbyshire,Worker (A rating),Skilled Worker
Fora (City) Restaurant Limited,London,Unknown,Worker (A rating),Skilled Worker
Forefront Foods Limited,Essex,Unknown,Worker (A rating),Skilled Worker
Founders Health Holding Limited,LONDON,Unknown,Worker (A rating),Skilled Worker
Frederic Roscop Limited,London,London,Worker (A rating),Skilled Worker
Fred'S Backyard Barbecue Limited,Edinburgh,City of Edinburgh,Worker (A rating),Skilled Worker
Freesia Health Ltd,Birmingham,Unknown,Worker (A rating),Skilled Worker
Fresh & Fresh London Ltd,London,Unknown,Worker (A rating),Skilled Worker
Frimley Subway Ltd,Frimley,Unknown,Worker (A rating),Skilled Worker
Frobel Independent Services,London,Essex,Worker (A rating),Skilled Worker
Fronhaul And Brookfield Care Home Ltd,Carmarthen,Carmarthenshire,Worker (A rating),Skilled Worker
Fusion Fleet Autos (Falkirk) Ltd,Falkirk,Unknown,Worker (A rating),Skilled Worker
Future Aspirations Care Group Ltd,Liverpool,Merseyside,Worker (A rating),Skilled Worker
G Force Chain Limited,Aldershot,Unknown,Worker (A rating),Skilled Worker
Ga Professional Healthcare Limited,CROYDON,Unknown,Worker (A rating),Skilled Worker
Gabin Accounting Services Ltd,London,Greater London,Worker (A rating),Skilled Worker
Gaur Govinda Trust,London,Unknown,Temporary Worker (A rating),Religious Worker
Gemec Limited,BOREHAMWOOD,Unknown,Temporary Worker (A rating),Global Business Mobility: Service Supplier
Genx Systems Ltd (15419956),ENGLAND,Unknown,Worker (UK Expansion Worker: Provisional),Global Business Mobility: UK Expansion Worker
Girardot Ltd,London,London,Worker (A rating),Skilled Worker
Glasgow Repairs Ltd,Glasgow,Unknown,Worker (A rating),Skilled Worker
Glenmore Consortium Ltd,Wembley,Unknown,Worker (A rating),Skilled Worker
Global Clinical Research Limited,Chelmsford,Unknown,Worker (A rating),Skilled Worker
Global Gourmet Limited T/A Karak Chaii,London,Unknown,Worker (A rating),Skilled Worker
Gloucester Circket Club,Gloucester,Gloucestershire,Worker (A rating),International Sportsperson
Gm Exclusive Care Services Limited,Portsmouth,Unknown,Worker (A rating),Skilled Worker
Go Dharmic Welfare Uk,London,London,Worker (A rating),Skilled Worker
Go Go Taxi Ltd,Farnborough,Rushmoor,Worker (A rating),Skilled Worker
Gofal Cymunedol Ltd,Whitland,Carmarthenshire,Worker (A rating),Skilled Worker
Goodwill Healthcare Services Limited,Ferryhill,Co Durham,Worker (A rating),Skilled Worker
Gp Max Retail Ltd T/A The Candy Box,Ipswich,Suffolk,Worker (A rating),Skilled Worker
Greenhead Pharmacy,huddersfield,Unknown,Worker (A rating),Skilled Worker
Greytown Dental Practice Ltd,Oxon,Unknown,Worker (A rating),Skilled Worker
Grosvenor Care Homes Ltd,Lincs,Lincolnshire,Worker (A rating),Skilled Worker
Gw Active Ltd,Walton-On-Thames,Unknown,Worker (A rating),Skilled Worker
Gw Consulting Engineers Ltd,Kidderminster,Worcestershire,Worker (A rating),Skilled Worker
Gyros Lab Ltd T/A Gyros Lab,Hackney,London,Worker (A rating),Skilled Worker
H K Odedra Ltd,Pinner,Unknown,Worker (A rating),Skilled Worker
H.W. Wood Limited,London,Unknown,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
H.W. Wood Limited,London,Unknown,Worker (A rating),Skilled Worker
H2C Gelati Ltd (Amorino),London,Greater London,Worker (A rating),Skilled Worker
Hah Hospitality Limited T/A Indian Affair Ancoats,Manchester,Unknown,Worker (A rating),Skilled Worker
Hak Grill Ltd,CARDIFF,Unknown,Worker (A rating),Skilled Worker
Haliogen Power Limited,Manchester,Greater Manchester,Worker (A rating),Skilled Worker
Hanar Cars (Uk) Ltd,London,Unknown,Worker (A rating),Skilled Worker
Hand In Hand International,London,Unknown,Worker (A rating),Skilled Worker
Happy Rugby Ltd,Hereford,Unknown,Worker (A rating),Skilled Worker
Happy Scot Limited,Cumbernauld,Unknown,Worker (A rating),Skilled Worker
Haremi Limited,Chelteham,Unknown,Worker (A rating),Skilled Worker
Harland Services Ltd,Telford,Shropshire,Worker (A rating),Skilled Worker
Harvey Medical Consulting Limited,Cambridge,Unknown,Worker (A rating),Skilled Worker
Haslingden Discount Store Limited,Rossebdale,Lancashire,Worker (A rating),Skilled Worker
Hasscon Limited T/A Hasscon Pharmacy,London,Unknown,Worker (A rating),Skilled Worker
Hasthcult Ltd Ta Artoons World,Brentford,Unknown,Worker (A rating),Skilled Worker
Hayat Food Supermarket Ltd,London,Unknown,Worker (A rating),Skilled Worker
Headington Rye Oxford Ltd,Oxford,Unknown,Worker (A rating),Skilled Worker
Headington Rye Oxford Ltd,Oxford,Unknown,Temporary Worker (A rating),Charity Worker
Hearing Wellness Uk Ltd,STOKE-ON-TRENT,Unknown,Worker (A rating),Skilled Worker
Heart Of Africa Uk,Larkhall,Unknown,Temporary Worker (A rating),Charity Worker
Heatsafe Solutions Ltd,Watford,Unknown,Worker (A rating),Skilled Worker
Heavenly Desserts Bournemouth Ltd T/A Heavenly Desserts Basingstoke,BASINGSTOKE,Unknown,Worker (A rating),Skilled Worker
Heliox Energy Ltd,Hampshire,Unknown,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Heliox Energy Ltd,Hampshire,Unknown,Worker (A rating),Skilled Worker
Hercules Enterprises Ltd,Southampton,Hampshire,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Hey Baby 4D Hayes Limited,Hayes,Unknown,Worker (A rating),Skilled Worker
Hi-Fi Corner (Edinburgh) Ltd,Edinburgh,Unknown,Worker (A rating),Skilled Worker
Hillside Care Ltd,SALFORD,Unknown,Worker (A rating),Skilled Worker
Hillview Centre Limited T/A Hillview Dental Practice,London,Unknown,Worker (A rating),Skilled Worker
Hiperdist Limited,Camberley,Surrey,Worker (A rating),Skilled Worker
Hiverge Ltd,Cambridge,Unknown,Worker (A rating),Skilled Worker
Hjb United Ltd Trading As Guyshi Bbq & Bar,Sheffield,Unknown,Worker (A rating),Skilled Worker
Hobsons Soho Ltd,London,Unknown,Worker (A rating),Skilled Worker
Holcim Uk Limited,Markfield,Leicestershire,Worker (A rating),Skilled Worker
Holcim Uk Limited,Markfield,Leicestershire,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Holiday Reservations Uk Ltd,Gloucester,Gloucestershire,Worker (A rating),Skilled Worker
Holt Retirement Limited,Hutton Buscel,Scarborough,Worker (A rating),Skilled Worker
Home Sweet Home Care Limited,ROMFORD,ESSEX,Worker (A rating),Skilled Worker
Homies On Donkeys Ltd,London,England,Worker (A rating),Skilled Worker
Hope City Church Edinburgh,Edinburgh,Lothian,Temporary Worker (A rating),Religious Worker
Horizon Care And Education Services Limited,Cannock,Staffordshire,Worker (A rating),Skilled Worker
Horizon Phones Sales And Repairs Uk Ltd,Woodbridge,Unknown,Worker (A rating),Skilled Worker
Houghton Pharmacy Ltd,Leicester,Leicestershire,Worker (A rating),Skilled Worker
Hr Mot & Services Ltd,Southall,Unknown,Worker (A rating),Skilled Worker
Iag Uk & Europe,SWANSEA,Unknown,Temporary Worker (A rating),Religious Worker
