Organisation Name,Town/City,County,Type & Rating,Route
Aura Energy Uk Limited,London,Unknown,Worker (UK Expansion Worker: Provisional),Global Business Mobility: UK Expansion Worker
Aurora Energy Research Ltd,Oxford,Unknown,Worker (A rating),Skilled Worker
Avondale Care Home Limited,Leigh-on-Sea,Unknown,Worker (A rating),Skilled Worker
Az Beauty & Hair Ltd,Croydon,Unknown,Worker (A rating),Skilled Worker
Back To Basics Care & Training Limited,LIanelli,Carmarthenshire,Worker (A rating),Skilled Worker
Barter For Things Ltd,Eastleigh,Hampshire,Worker (A rating),Skilled Worker
Bartley Green School,Birmingham,Unknown,Worker (A rating),Skilled Worker
Basil Sheils Bar & Restaurant Ltd,TASSAGH,NORTHERN IRELAND,Worker (A rating),Skilled Worker
Basingstoke Bison,Basingstoke,Unknown,Worker (A rating),International Sportsperson
Bathgate House Limited,BATHGATE,Unknown,Worker (A rating),Skilled Worker
Bb Newworxs Ltd,London,Unknown,Worker (UK Expansion Worker: Provisional),Global Business Mobility: UK Expansion Worker
Beacon Medical,Cleethorpes,NE Lincs,Worker (A rating),Skilled Worker
Belleza Beauty & Spa Ltd T/A Belleza Beauty,Colchester,Unknown,Worker (A rating),Skilled Worker
Belmont Healthcare (Copper) Limited T/A Belmont Healthcare (Copper Beeches) Limited,Redditch,Worcestershir,Worker (A rating),Skilled Worker
Bennett Hay Ltd.,London,Unknown,Worker (A rating),Skilled Worker
Best Deal Shipping Ltd,LEICESTER,Unknown,Worker (A rating),Skilled Worker
Beta Capital Management (Uk) Limited,London,England,Worker (A rating),Skilled Worker
Beur Limited,London,Unknown,Worker (A rating),Skilled Worker
Bfc Distribution Limited T/A B F C Distribution,London,Unknown,Worker (A rating),Skilled Worker
Bharat Ventures Limited T/A Morrisons,London,Unknown,Worker (A rating),Skilled Worker
Bigger Boat Group Limited,Manchester,Unknown,Worker (A rating),Skilled Worker
Birch Care Ltd,Stockport,Unknown,Worker (A rating),Skilled Worker
Birmingham Repertory Theatre Ltd,Birmingham,Unknown,Temporary Worker (A rating),Charity Worker
Bishop'S Stratford Ms Sushi Ltd,OXFORD,Unknown,Worker (A rating),Skilled Worker
Blackburn International (Uk) Limited,Surrey,Unknown,Worker (A rating),Skilled Worker
Blb Lakeside Ltd T/A Brick Lane Bagel Co,Grays,Unknown,Worker (A rating),Skilled Worker
Blue Moon Grocery Store Ltd,London,Unknown,Worker (A rating),Skilled Worker
Blyth Hall Management Services Limited,Atherstone,Unknown,Worker (A rating),Skilled Worker
Brava Cars Ltd,Redditch,Unknown,Worker (A rating),Skilled Worker
Bright Start Day Nursery Ltd,London,Unknown,Worker (A rating),Skilled Worker
Brio Real Estate (Uk) Limited,London,Unknown,Worker (A rating),Skilled Worker
Broadway Academy Trust,Birmingham,West Midlands,Worker (A rating),Skilled Worker
Bs Care Providers  Ltd,Arnold,Nottingham,Worker (A rating),Skilled Worker
Buraaq Foods Ltd,Walsall,West Midlands,Worker (A rating),Skilled Worker
Burton Sweet Limited,Shepton Mallet,Somerset,Worker (A rating),Skilled Worker
C.P.G. (Wales) Limited,Swansea,Wales,Worker (A rating),Skilled Worker
Caa Base Limited,London,Unknown,Worker (A rating),Skilled Worker
Cadensys Limited,London,Unknown,Worker (A rating),Skilled Worker
"Caldwell Ip, Ltd",London,Unknown,Worker (A rating),Skilled Worker
Cambon Partners Ltd,London,Unknown,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Cambon Partners Ltd,London,Unknown,Worker (A rating),Skilled Worker
Cambridge Rewinds Limited,Cambridge,Unknown,Worker (A rating),Skilled Worker
Camdor Global Advisors Ltd,London,Unknown,Worker (A rating),Skilled Worker
Camp Services Ltd,London,Unknown,Worker (A rating),Skilled Worker
Capital Vehicle Maintenance Limited,Isleworth,Unknown,Worker (A rating),Skilled Worker
Cardiff Union Services Limited,Cardiff,Unknown,Worker (A rating),Skilled Worker
Care At Home Services (South East) Ltd.,Tunbridge Wells,Unknown,Worker (A rating),Skilled Worker
Caspertron Ltd,Manchester,Unknown,Worker (A rating),Skilled Worker
Cbc Uk Limited,London,Unknown,Worker (A rating),Skilled Worker
Ceg Constructions & Home Improvements Ltd,St Neots,Cambridgeshire,Worker (A rating),Skilled Worker
Centrespace Design Llp,Henley on Thames,Unknown,Worker (A rating),Skilled Worker
Centrus Financial Advisors Limited,London,Unknown,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Centrus Financial Advisors Limited,London,Unknown,Worker (A rating),Skilled Worker
Chai&Curry Ltd,Manchester,Unknown,Worker (A rating),Skilled Worker
Chaiibox Birmingham Ltd,Birmingham,Birmingham,Worker (A rating),Skilled Worker
Cheeky Scone Limited,PINNER,Unknown,Worker (A rating),Skilled Worker
Chessvantage Academy Limited,London,Unknown,Worker (A rating),Skilled Worker
Chin Chin Choo Limited T/A Cho Asia,London,Unknown,Worker (A rating),Skilled Worker
Chocohugs Ltd,NEWCASTLE UPON TYNE,TYNE AND WEAR,Worker (A rating),Skilled Worker
Circle Leaf Ltd,Coulsdon,Unknown,Worker (A rating),Skilled Worker
Clean World Birmingham Ltd,Birmingham,Unknown,Worker (A rating),Skilled Worker
Clifton Medical Practice,Nottingham,Nottinghamshire,Worker (A rating),Skilled Worker
Cloudvplus Holdings Ltd,Portsmouth,Hampshire,Worker (A rating),Skilled Worker
Colham Manor Primary School,Uxbridge,Unknown,Worker (A rating),Skilled Worker
Competitive Security Services Limited,Southall,Unknown,Worker (A rating),Skilled Worker
Connectcom Solutions Ltd,London,Unknown,Worker (A rating),Skilled Worker
Constantia Ffp Ltd,Northampton,Unknown,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Constantia Ffp Ltd,Northampton,Unknown,Worker (A rating),Skilled Worker
Coralogix Uk Limited,London,Unknown,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Coralogix Uk Limited,London,Unknown,Worker (A rating),Skilled Worker
Cordles Design Limited,London,London,Worker (A rating),Skilled Worker
Core Lean Uk Ltd,Sutton,Unknown,Worker (A rating),Skilled Worker
Corpus Christi Catholic Academy Trust,Manchester,Greater Manchester,Worker (A rating),Skilled Worker
Covbun Ltd,Coventry,Unknown,Worker (A rating),Skilled Worker
Cream Group Limited,London,Unknown,Worker (A rating),Skilled Worker
Croftwood Care (Cheshire) Limited,Surrey,Unknown,Worker (A rating),Skilled Worker
Crosby Community Care Limited,NEWARK,Unknown,Worker (A rating),Skilled Worker
Crossfield Service Centre,Blackburn,Unknown,Worker (A rating),Skilled Worker
Croydon Hybrid Parts Ltd,Croydon,Unknown,Worker (A rating),Skilled Worker
Crystal Hall,Preston,Lancashire,Worker (A rating),Skilled Worker
Cumulocity (Uk) Ltd,Histon,Unknown,Worker (A rating),Skilled Worker
Cw Aberdeen Limited,Aberdeen,Unknown,Worker (A rating),Skilled Worker
Cyberwave It Limited,Radlett,Unknown,Worker (A rating),Skilled Worker
Daa-M Property Management Ltd,Newport,Unknown,Worker (A rating),Skilled Worker
Dcat Hotels & Restaurant Limited,Brackley,Unknown,Worker (A rating),Skilled Worker
De Banke Group Limited,Solihull,Unknown,Worker (A rating),Skilled Worker
Defenceart Ltd,LONDON,Unknown,Worker (A rating),Skilled Worker
Dephna Group Limited,London,Unknown,Worker (A rating),Skilled Worker
Derbysoft (Uk) Limited,London,Unknown,Worker (A rating),Skilled Worker
Desi Khazana Limited,LEICESTER,Unknown,Worker (A rating),Skilled Worker
Design Storey Limited,Oxford,Unknown,Worker (A rating),Skilled Worker
Dhch14 Limited,Southport,Unknown,Worker (A rating),Skilled Worker
Dhz Pharmaceuticals Limited,Manchester,Unknown,Worker (A rating),Skilled Worker
Diamond Export Industries Ltd,London,Unknown,Worker (UK Expansion Worker: Provisional),Global Business Mobility: UK Expansion Worker
Digi Broadcast Company Limited,"Chessington, London",Unknown,Worker (A rating),Skilled Worker
Dm & Fm Jones Calcourt Farms,powys,Unknown,Worker (A rating),Skilled Worker
Doner Gyros Reading Ltd T/A Mr T'S,Reading,Unknown,Worker (A rating),Skilled Worker
Dprs Scots Limited T/A Domino'S Pizza,Dartford,Unknown,Worker (A rating),Skilled Worker
Dr Craig Needs T/A Over Surgery,Cambridge,Unknown,Worker (A rating),Skilled Worker
Dr Shahrzad Yeganeh T/A Newport Road Dental Clinic,Cardiff,Unknown,Worker (A rating),Skilled Worker
Drink Stop Express Limited,Wolverhampton,Unknown,Worker (A rating),Skilled Worker
Durra Al-Baqa Uk Ltd,London,Unknown,Worker (A rating),Skilled Worker
Dvf Products Limited,Huddersfield,England,Worker (A rating),Skilled Worker
Dvp Sai Ltd T/A Southwark Park Road Post Office,London,Unknown,Worker (A rating),Skilled Worker
Early Years Organisation,Belfast,Antrim,Temporary Worker (A rating),Charity Worker
Echos Education Ltd,London,Unknown,Worker (A rating),Skilled Worker
Elite Community Ultrasound Ltd,Ashford,Kent,Worker (A rating),Skilled Worker
Elite Exchange Ltd,Luton,Unknown,Worker (A rating),Skilled Worker
Elocker Limited,Daventry,Unknown,Worker (A rating),Skilled Worker
Ely Diocesan Board Of Finance,Witchford Nr Ely,Cambridgeshire,Temporary Worker (A rating),Religious Worker
Ely Diocesan Board Of Finance,Witchford Nr Ely,Cambridgeshire,Worker (A rating),Tier 2 Ministers of Religion
Embassy Of The State Of Kuwait,LONDON,Unknown,Worker (A rating),Skilled Worker
Eminence Inc Limited,London,Unknown,Worker (A rating),Skilled Worker
Emma Wells Tennis Limited,London,Unknown,Worker (A rating),Skilled Worker
Emmalex Consult Ltd.,Milton Keynes,Buckinghamshire,Worker (A rating),Skilled Worker
Enerfloat Ltd,Aberdeen,Aberdeenshire,Worker (A rating),Skilled Worker
Energise Sussex Coast,Bexhill,East Sussex,Worker (A rating),Skilled Worker
Enva Plastics Limited,Bilsthorpe,Nottinghamshire,Worker (A rating),Skilled Worker
Essensium Uk Ltd,London,Unknown,Worker (A rating),Skilled Worker
Esthetichem Limited,Cradley Heath,Unknown,Worker (A rating),Skilled Worker
Euphoric Global,London,Unknown,Worker (A rating),Skilled Worker
Eurolink (Uk) Ltd,Hatfield,Unknown,Worker (A rating),Skilled Worker
Euy Limited,LONDON,Unknown,Worker (A rating),Skilled Worker
Evergreen Livestock Ltd,Swaffham,Unknown,Worker (A rating),Skilled Worker
Excel Brands Ltd,DONCASTER,Unknown,Worker (A rating),Skilled Worker
Ez Ramyeon Ltd,Nottingham,Unknown,Worker (A rating),Skilled Worker
Ezi Technology Limited,EAST TILBURY,ESSEX,Worker (A rating),Skilled Worker
F&T Design Consultants Limited,London,Unknown,Worker (A rating),Skilled Worker
F. Schumacher & Co. Uk Ltd,London,Unknown,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
F. Schumacher & Co. Uk Ltd,London,Unknown,Worker (A rating),Skilled Worker
Fairfax Store Ltd,Kidlington,Unknown,Worker (A rating),Skilled Worker
Fareport Training Organisation Limited,Fareham,Unknown,Worker (A rating),Skilled Worker
Farhad Mashadi Limited," Hornchurch, England",Unknown,Worker (A rating),Skilled Worker
Farmhouse Wembley Ltd,Wembley,Unknown,Worker (A rating),Skilled Worker
Fast Pc & Mobile Tech Ltd,Leeds,Unknown,Worker (A rating),Skilled Worker
Fatima Tandoori Ltd,Manchester,Unknown,Worker (A rating),Skilled Worker
Fides Box And Pack Limited,Maidenhead,Unknown,Worker (UK Expansion Worker: Provisional),Global Business Mobility: UK Expansion Worker
Find Cab Ltd,Manchester,Lancashire,Worker (A rating),Skilled Worker
Fire Safe Windows & Doors Ltd,Stanmore,Unknown,Worker (A rating),Skilled Worker
First Tone Ltd,London,Unknown,Worker (A rating),Skilled Worker
Flawless Uk Vape Distribution Ltd,Leicester,Leicestershire,Worker (A rating),Skilled Worker
Flow Controls Uk Limited,BOLTON,GREATER MANCHESTER,Worker (A rating),Skilled Worker
Flytec Ltd,Horsham,Unknown,Worker (A rating),Skilled Worker
Fok Trading Limited,London,Unknown,Worker (A rating),Skilled Worker
Forty Eight Point One Ltd,London,England,Worker (A rating),Skilled Worker
Fourth Of March Limited/Trading Name Racil,London,Unknown,Worker (A rating),Skilled Worker
Frontline News & Media Limited,London,Unknown,Worker (A rating),Skilled Worker
Full Circle Living Ltd,Maidstone,Unknown,Worker (A rating),Skilled Worker
Full Volume Pr Limited,Manchester,Unknown,Worker (A rating),Skilled Worker
Fullhurst Community College,Leicester,Unknown,Worker (A rating),Skilled Worker
Gaea Ai Limited,London,Unknown,Worker (A rating),Skilled Worker
Galaxy Uk Restaurants Ltd,Hyde,Unknown,Worker (A rating),Skilled Worker
Galvinus Ltd,Rugby,Warwickshire,Worker (A rating),Skilled Worker
Galwad Y Mor Shellfish Ltd,Bridlington,East Riding of Yorkshire,Worker (A rating),Skilled Worker
Gandecha & Pau Solicitors,London,Unknown,Worker (A rating),Skilled Worker
Gates Cars Ltd,London,Unknown,Worker (A rating),Skilled Worker
Gentle Folk Community Care Ltd,Norfolk,Unknown,Worker (A rating),Skilled Worker
Get Consult Ltd,London,Unknown,Worker (A rating),Skilled Worker
Get Set Hire Ltd,London,Unknown,Worker (A rating),Skilled Worker
Ghenova Uk Ltd,Bristol,Unknown,Worker (A rating),Skilled Worker
Gm Poverty Action Limited  Trading As Resolve Poverty,Manchester,Unknown,Worker (A rating),Skilled Worker
Gntk Ltd,Tiverton,Unknown,Worker (A rating),Skilled Worker
Goldendale House Care Home,Stoke-on-Trent,Unknown,Worker (A rating),Skilled Worker
Goodfire Ai Uk Limited,London,Unknown,Worker (A rating),Skilled Worker
Grace 1442 Limited T/A Leelas,Oxfordshire,Unknown,Worker (A rating),Skilled Worker
Grainflow Operations Ltd,LONDON,Unknown,Worker (A rating),Skilled Worker
Grainger Cable Installations Ltd,Gateshead,Unknown,Worker (A rating),Skilled Worker
Granville Convenience Store,Kingswinford,Unknown,Worker (A rating),Skilled Worker
Gridlines Group Ltd,Manchester,Unknown,Worker (A rating),Skilled Worker
Groom Guru Natural Dog Spa & Daycare Limited,London,Unknown,Worker (A rating),Skilled Worker
Guilford Hotel,London,Unknown,Worker (A rating),Skilled Worker
Gurkha Lounge Colchester Limited,Colchester,Unknown,Worker (A rating),Skilled Worker
H2 Beauty Co Ltd,Birmingham,Unknown,Worker (A rating),Skilled Worker
Haberdashers' Elstree Schools,Elstree,Hertfordshire,Worker (A rating),Skilled Worker
Haddleton & Co Limited,Harrogate,North Yorkshire,Worker (A rating),Skilled Worker
Hadleigh Dental And Cosmetics Centre,Hadleigh,Benfleet,Worker (A rating),Skilled Worker
Hampshire Sport And Leisure Holdings Limited,Southampton,Unknown,Worker (A rating),Skilled Worker
Hamshaw Care Home Ltd,Heanor,Unknown,Worker (A rating),Skilled Worker
Hanami Lic Limited,Glasgow,Unknown,Worker (A rating),Skilled Worker
Harborne Academy,Birmingham,United Kingdom,Worker (A rating),Skilled Worker
Hasan Cetinkaya T/A Adda Restaurant,Edinburgh,Unknown,Worker (A rating),Skilled Worker
Haylo M&E Limited,Harrow,Middlesex,Worker (A rating),Skilled Worker
Haywards Heath Visionplus Limited T/A Specsavers,Haywards Heath,Unknown,Worker (A rating),Skilled Worker
Hennessy Living Group,Chester Le Street,Durham,Worker (A rating),Skilled Worker
Hesus Uk Limited,London,Unknown,Worker (A rating),Skilled Worker
Highland Motors Ltd,Portree,Unknown,Worker (A rating),Skilled Worker
Hillside Lodge Care Home,Berwick-upon-tweed,Unknown,Worker (A rating),Skilled Worker
Hindu Buddhist Cultural Association,London,Unknown,Worker (A rating),Tier 2 Ministers of Religion
Hindu Buddhist Cultural Association,London,Unknown,Worker (A rating),Skilled Worker
Hindu Buddhist Cultural Association,London,Unknown,Temporary Worker (A rating),Charity Worker
Hindu Buddhist Cultural Association,London,Unknown,Temporary Worker (A rating),Religious Worker
Hn Trading Holdings Ltd,London,Unknown,Worker (A rating),Skilled Worker
Holapets Ltd,London,Unknown,Worker (A rating),Skilled Worker
Hollway Advisory Services Uk Ltd,Borehamwood,Unknown,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Hollway Advisory Services Uk Ltd,Borehamwood,Unknown,Worker (A rating),Skilled Worker
Holy Trinity Frogmore,St Albans,Hertfordshire,Worker (A rating),Tier 2 Ministers of Religion
Hoofprints Technologies Ltd T/A Chettinad Mess,Stirling,Unknown,Worker (A rating),Skilled Worker
Hostbray Limited,Radlett,Unknown,Worker (A rating),Skilled Worker
House Targaryen Ltd T/A Old Infirmary,Worcester,Unknown,Worker (A rating),Skilled Worker
Ht Trading Ltd,London,Unknown,Worker (A rating),Skilled Worker
Huntly Tandoori Aberdeen Ltd,Huntly,Unknown,Worker (A rating),Skilled Worker
Hynamics Uk Limited,London,Unknown,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Hynamics Uk Limited,London,Unknown,Worker (A rating),Skilled Worker
Hypnotique Ltd,London,Unknown,Worker (A rating),Skilled Worker
Ibex Plus Partners Limited,DOWNPATRICK,Unknown,Worker (A rating),Skilled Worker
Ideal Fitted Bedrooms Ltd,Greenford,Unknown,Worker (A rating),Skilled Worker
Ideal Smile Limited,Walsall,Unknown,Worker (A rating),Skilled Worker
Iduna Oma Limited,Manchester,Unknown,Worker (A rating),Skilled Worker
Ignota Labs Limited,Cambridge,Unknown,Worker (A rating),Skilled Worker
Iloft Conversions Ltd,London,Unknown,Worker (A rating),Skilled Worker
Imech Engineering Limited,London,Unknown,Worker (A rating),Skilled Worker
Imes Engineering & Contracting Ltd,Stafford,Staffordshire,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Imes Engineering & Contracting Ltd,Stafford,Staffordshire,Worker (A rating),Skilled Worker
Imone Bbq Ltd,New Malden,Unknown,Worker (A rating),Skilled Worker
Imperial Homeware London Limited,Birmingham,West Midlands,Worker (A rating),Skilled Worker
Indian Pantry (Manchester) Ltd,Manchester,Unknown,Worker (A rating),Skilled Worker
Indian Spice Ltd,Congleton,Unknown,Worker (A rating),Skilled Worker
Ineo Nuclear Uk Ltd,London,Unknown,Worker (A rating),Skilled Worker
Inexor Limited,London,Unknown,Worker (A rating),Skilled Worker
Infinity Deals Ltd,London,Unknown,Worker (A rating),Skilled Worker
Innovate Cambridge Ltd,Cambridge,Unknown,Worker (A rating),Skilled Worker
Inspire Neurocare Limited,Worcester,Unknown,Worker (A rating),Skilled Worker
Integrated De-Icing Services Uk Limited,Luton,Unknown,Worker (A rating),Skilled Worker
Integro Design Engineering Associates Ltd,Glasgow,Unknown,Worker (A rating),Skilled Worker
Intellego Education Services Limited,London,Unknown,Worker (A rating),Skilled Worker
Invinity Energy (Uk) Limited,Bathgate,Unknown,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Invinity Energy (Uk) Limited,Bathgate,Unknown,Worker (A rating),Skilled Worker
Islamic Aid,London,United Kingdom,Worker (A rating),Skilled Worker
Iwk Watford Ltd T/A Heavenly Desserts,Watford,Hertfordshire,Worker (A rating),Skilled Worker
J & H Hauliers Ltd,Derby,Unknown,Worker (A rating),Skilled Worker
J&D Pierce Contracts Limited,Glengarnock,Ayrshire,Worker (A rating),Skilled Worker
Jamak Fabrication Europe Ltd,Worsley,Greater Manchester,Worker (A rating),Skilled Worker
Jatco Uk Ltd,Sunderland,Tyne And Wear,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Jattan Food Ltd T/A Guru Indian Cuisine,NEWRY,NORTHERN IRELAND,Worker (A rating),Skilled Worker
Jevra Pvt Limited,Onich,"Fort William , Scotland",Worker (A rating),Skilled Worker
Jhsf Uk Ltd,London,England,Worker (A rating),Skilled Worker
Jms Infotech Limited,Milton Keynes,Unknown,Worker (A rating),Skilled Worker
Jsm Management Group Ltd,Cardiff,Unknown,Worker (A rating),Skilled Worker
Jt&Z  Construction Company Limited,LONDON,Unknown,Worker (A rating),Skilled Worker
K Furniture Co Limited,London,Unknown,Worker (A rating),Skilled Worker
Kabir Travels Ltd,BIRMINGHAM,Unknown,Worker (A rating),Skilled Worker
Kalla Holdings Ltd,London,Unknown,Worker (A rating),Skilled Worker
Kambojx Limited,Wolverhampton,Unknown,Worker (A rating),Skilled Worker
Kaner International Limited,London,Unknown,Worker (A rating),Skilled Worker
Kangaroo Local Uk Ltd,Harwich,Unknown,Worker (A rating),Skilled Worker
Karsons Pharma Limited,Rochester,Unknown,Worker (A rating),Skilled Worker
Kavya Store,CHIPPENHAM,Unknown,Worker (A rating),Skilled Worker
Keith Cohen Limited,LONDON,Unknown,Worker (A rating),Skilled Worker
Ken Nguyen Trading As Whitchurch Nails,Cardiff,Unknown,Worker (A rating),Skilled Worker
Kensington Partnership,Bradford,West Yorkshire,Worker (A rating),Skilled Worker
Kenvue Emea Services Limited,High Wycombe,Unknown,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Kenvue Emea Services Limited,High Wycombe,Unknown,Worker (A rating),Skilled Worker
Kenvue Emea Services Limited,High Wycombe,Unknown,Temporary Worker (A rating),Global Business Mobility: Graduate Trainee
Keystone Interiors Limited,Uxbridge,Unknown,Worker (A rating),Skilled Worker
Khanh Hoang Limited,Langholm,Unknown,Worker (A rating),Skilled Worker
Khushi Holding Ltd,Coventry,Unknown,Worker (A rating),Skilled Worker
Ki Powerfuel Pvt Limited,"Carmarthen,",Unknown,Worker (A rating),Skilled Worker
Killiecrankie Ltd,Pitlochry,Perthshire,Worker (A rating),Skilled Worker
Kingsheath Vision Plus Ltd - Specsavers Opticians Kingsheath,Kingsheath,Birmingham,Worker (A rating),Skilled Worker
Kintec Recruitment Limited,Salford Quays,Unknown,Worker (A rating),Skilled Worker
Kittu Express Ltd,NEWCASTLE UPON TYNE,Unknown,Worker (A rating),Skilled Worker
Kiwi Commerce Ltd,Manchester,Lancashire,Worker (A rating),Skilled Worker
Kleemann Lifts Uk Limited,ASHFORD,KENT,Worker (A rating),Skilled Worker
Kls Business Ltd,Powys,Unknown,Worker (A rating),Skilled Worker
Knightsbridge Green,London,Unknown,Worker (A rating),Skilled Worker
Knowledge Quarter,London,Unknown,Worker (A rating),Skilled Worker
Kogweno & Bubi Consultants Ltd,London,Unknown,Worker (UK Expansion Worker: Provisional),Global Business Mobility: UK Expansion Worker
Korus Health Ltd,Truro,Unknown,Worker (A rating),Skilled Worker
Kosli Limited,Brentford,Unknown,Worker (A rating),Skilled Worker
Ks Education Associates Limited,LONDON,Unknown,Worker (A rating),Skilled Worker
Land And Minerals Consulting Ltd,Clevedon,North Somerset,Worker (A rating),Skilled Worker
Larkside Practice,Luton,Beds,Worker (A rating),Skilled Worker
Laurel International Management Ltd,Welshpool,Wales,Worker (A rating),Skilled Worker
Laurelle London Ltd,Canvey Island,Essex,Worker (A rating),Skilled Worker
Laviel Clinic,London,Unknown,Worker (A rating),Skilled Worker
Layaa Limited,Tiverton,Devon,Worker (A rating),Skilled Worker
Le Paragon,Leigh-on-Sea,uk,Worker (A rating),Skilled Worker
Learning Corner Nursery,Luton,Unknown,Worker (A rating),Skilled Worker
Leasehold Services Ltd,London,Unknown,Worker (A rating),Skilled Worker
Lebran Ltd,Chester,Unknown,Worker (A rating),Skilled Worker
Legacy Uk Holdings Limited,London,Unknown,Worker (A rating),Global Business Mobility: UK Expansion Worker
Leicester Football Club Plc,LEICESTER,Unknown,Worker (A rating),Skilled Worker
Lennox Gardens Partners Limited,London,Unknown,Worker (A rating),Skilled Worker
Lenwood Capital Ltd.,London,Unknown,Worker (UK Expansion Worker: Provisional),Global Business Mobility: UK Expansion Worker
Lewisham Cosmetics Ltd T/As Shaba Hair & Cosmetics,Lewisham,Unknown,Worker (A rating),Skilled Worker
Lf Law Ltd,London,Unknown,Worker (A rating),Skilled Worker
Liberty Accounting & Training Ltd,London,Unknown,Worker (A rating),Skilled Worker
Liberty Global Europe Limited,London,Unknown,Worker (A rating),Skilled Worker
Liberty Global Europe Limited,London,Unknown,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
