Organisation Name,Town/City,County,Type & Rating,Route
Dishion Oxford Ltd,Oxford,Unknown,Temporary Worker (A rating),Global Business Mobility: Graduate Trainee
Dittolive Uk Ltd,London,Unknown,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Dittolive Uk Ltd,London,Unknown,Worker (A rating),Skilled Worker
Dlcautocare Ltd,Manchester,GREATER MANCHESTER,Worker (A rating),Skilled Worker
Double Red 359,PETERHEAD,United Kingdom,Worker (A rating),Skilled Worker
Dumbo London Limited,London,Unknown,Worker (A rating),Skilled Worker
Efg Housewares Ltd,London,Middlesex,Worker (A rating),Skilled Worker
Eg Interactive Limited,London,Unknown,Worker (A rating),Skilled Worker
Elephant Removals Ltd,London,Unknown,Worker (A rating),Skilled Worker
Elever Care & Support Limited,London,Unknown,Worker (A rating),Skilled Worker
"Ellison Institute Of Technology, Oxford Limited",Littlemore,Oxford,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
"Ellison Institute Of Technology, Oxford Limited",Littlemore,Oxford,Worker (A rating),Skilled Worker
Exel Couriers Ltd,London,Unknown,Worker (A rating),Skilled Worker
Express Homerton Ltd T/A Expa Local Supermarket,London,Unknown,Worker (A rating),Skilled Worker
Fair Consulting Group Uk Limited,London,Unknown,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Fair Consulting Group Uk Limited,London,Unknown,Worker (A rating),Skilled Worker
Farm Traders Limited,London,Unknown,Worker (A rating),Skilled Worker
Favourit Foods Ltd,Belfast,Northern Ireland,Worker (A rating),Skilled Worker
Felament Limited,Luton,Unknown,Worker (A rating),Skilled Worker
Follion Uk Limited,Leeds,West Yorkshire,Worker (A rating),Skilled Worker
"Francis Connon, Drenagh Farm",Limavady,Derry,Worker (A rating),Skilled Worker
Frank Day Upholstery Ltd,High Wycombe,Buckinghamshire,Worker (A rating),Skilled Worker
Fraser Home Care Ltd,Inverness,Inverness-Shire,Worker (A rating),Skilled Worker
Galaxie Hotel (Mr And Mrs Harries-Jones T/A Galaxie Hotel),Oxford,Oxfordshire,Worker (A rating),Skilled Worker
Gallant Global Limited,Manchester,Unknown,Worker (A rating),Skilled Worker
Genhaven Property Trading Ltd,Middleton,Manchester,Worker (A rating),Skilled Worker
Gh Punjab Ltd,Leicester,Unknown,Worker (A rating),Skilled Worker
Global Telecom Networks Ltd,Milton Keynes,Unknown,Worker (A rating),Skilled Worker
Gm Cars Ltd,Guildford,Unknown,Worker (A rating),Skilled Worker
Gurbani & Co Ltd,Hayes,Unknown,Worker (A rating),Skilled Worker
H&S Facilities Management Limited,London,Unknown,Worker (A rating),Skilled Worker
H. Days Holdings Limited,Summercourt,Unknown,Worker (A rating),Skilled Worker
Haq Halal Shop Ltd,Birmingham,Unknown,Worker (A rating),Skilled Worker
Harvest Care Group Limited,Watford,Unknown,Worker (A rating),Skilled Worker
Health Consultants International Td,Oxford,Unknown,Worker (A rating),Skilled Worker
Henderson Rowe Limited,London,Unknown,Worker (A rating),Skilled Worker
Hill House  Residential Care Home,Huntingdon,Unknown,Worker (A rating),Skilled Worker
Hippocampus Media Ltd,London,Unknown,Worker (A rating),Skilled Worker
Holden Park Care Limited,Orpington,Bromley,Worker (A rating),Skilled Worker
Hollyfields Farm Fresh Eggs Ltd,Barnet,Unknown,Worker (A rating),Skilled Worker
Hospitality Wise Ltd,Norwich,Unknown,Worker (A rating),Skilled Worker
Hs&A Limited,Newcastle Upon Tyne,Unknown,Worker (A rating),Skilled Worker
I-Com,Manchester,Greater Manchester,Worker (A rating),Skilled Worker
Imperial Employment Resources Ltd,London,Unknown,Worker (A rating),Skilled Worker
Ingeteam Ltd.,Portbury,Bristol,Worker (A rating),Skilled Worker
Ingleman Limited,Hertfordshire,Unknown,Worker (A rating),Skilled Worker
Ishaaq And Tahseen Ltd T/A German Doner Kebab,London,Unknown,Worker (A rating),Skilled Worker
Ivy Mill Day Nursery,Liphook,Hampshire,Worker (A rating),Skilled Worker
Jd Excavations Tyrone Ltd,Cookstown,Tyrone,Worker (A rating),Skilled Worker
Jey Retailer Ltd,Bude,Unknown,Worker (A rating),Skilled Worker
Jhelum Papers Ltd,BLACKBURN,Unknown,Worker (A rating),Skilled Worker
Joyn Kitchens Ltd,London,Unknown,Worker (A rating),Skilled Worker
K Mac Construction Ltd,Limavady,Co Londonderry,Worker (A rating),Skilled Worker
Kanes Foods Ltd,Evesham,Worcestershire,Worker (A rating),Skilled Worker
Keasim Limited T/A Malones Irish Bar,Coventry,Unknown,Worker (A rating),Skilled Worker
Kingston And London Minicabs Limited,Surbiton,Unknown,Worker (A rating),Skilled Worker
Krishiv Express Limited,Feltham,Unknown,Worker (A rating),Skilled Worker
Ksk Food And Wine Ltd,Luton,Unknown,Worker (A rating),Skilled Worker
Kyuden International Uk Ltd,London,Unknown,Worker (UK Expansion Worker: Provisional),Global Business Mobility: UK Expansion Worker
Lalique Limited,London,Unknown,Worker (A rating),Skilled Worker
Leyton Linen Services Limited,London,Unknown,Worker (A rating),Skilled Worker
Little Leapers Ltd T/A Canopy Nursery St Albans,St Albans,Unknown,Worker (A rating),Skilled Worker
Londondaytripz Ltd,London,Unknown,Worker (A rating),Skilled Worker
M18 Foods Ltd,Harlow,Unknown,Worker (A rating),Skilled Worker
Melton Pub & Restaurant Limited,Leicester,Unknown,Worker (A rating),Skilled Worker
Merc Education Uk Ltd,London,Unknown,Worker (A rating),Skilled Worker
Meridian Peoples Holdings Limited,London,Unknown,Worker (A rating),Skilled Worker
Mia & Co (Scotland) Ltd,Stirling,Unknown,Worker (A rating),Skilled Worker
Mishi Consultancy Ltd,London,Unknown,Worker (A rating),Skilled Worker
Moonreach Limited,Deal,Kent,Worker (A rating),Skilled Worker
Mrm Coulsdon Ltd,COULSDON,Unknown,Worker (A rating),Skilled Worker
Myddelton Foods Ltd T/A Street Greek,London,Unknown,Worker (A rating),Skilled Worker
Nila Estates Ltd,HARROW,Unknown,Worker (A rating),Skilled Worker
Nimit Ltd,Matson,Unknown,Worker (A rating),Skilled Worker
Node Group Ltd,Walthamstow,Unknown,Worker (A rating),Skilled Worker
Nola Pizza Ltd,Manchester,Unknown,Worker (A rating),Skilled Worker
Nta Pvt. Limited,Cosham,Portsmouth,Worker (A rating),Skilled Worker
Obm (Uk) Limited,London,London,Worker (A rating),Skilled Worker
Ocean Fishing Llp,Fraserburgh,Aberdeenshire,Worker (A rating),Skilled Worker
Olive Grove Canterbury Limited T/A Olive Grove,Canterbury,Unknown,Worker (A rating),Skilled Worker
One Square One Limited,Bolton,Unknown,Worker (A rating),Skilled Worker
Padel Hub Group Ltd,Slough,Unknown,Worker (A rating),Skilled Worker
Passion Transport Limited,Colchester,Unknown,Worker (A rating),Skilled Worker
Patrick George Lambert Partnership,Upton,Aylesbury,Worker (A rating),Skilled Worker
Ph Legal Recruitment Ltd,Birmingham,West Midlands,Worker (A rating),Skilled Worker
Phs Care Services Ltd,Leeds,Unknown,Worker (A rating),Skilled Worker
Pillcare Pharma Limited,Sheffield,Unknown,Worker (A rating),Skilled Worker
Pitch Black Creative Production Uk Ltd (T/A Folks),London,Unknown,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Pitch Black Creative Production Uk Ltd (T/A Folks),London,Unknown,Worker (A rating),Skilled Worker
Plane Saver Credit Union Limited,Brentford,Unknown,Worker (A rating),Skilled Worker
Powerhouse Community Church,Dalry,Ayrshire,Temporary Worker (A rating),Charity Worker
Prestige Food And Wine Ltd,Hounslow,Middlesex,Worker (A rating),Skilled Worker
Prestige Healthcare (London) Ltd,East Barnet,Hertfordshire,Worker (A rating),Skilled Worker
Primatrade Services Limited,Guildford,Unknown,Worker (A rating),Skilled Worker
Progress Schools Limited,Bootle,Unknown,Worker (A rating),Skilled Worker
Qsc Uk & Ireland Ltd,Egham,Unknown,Worker (A rating),Skilled Worker
Queens Tower Advisory Limited,London,Unknown,Worker (A rating),Skilled Worker
Questo Technologies Ltd,Reading,Berkshire,Worker (A rating),Skilled Worker
Raisin Dads Ltd,Stockport,Unknown,Worker (A rating),Skilled Worker
Raja Logistics Ltd,Birmingham,united kingdom,Worker (A rating),Skilled Worker
Redstar Services Limited,Sheffield,Unknown,Worker (A rating),Skilled Worker
Regalquaff Liquor Hub Limited,London,Unknown,Worker (A rating),Skilled Worker
Re-Tec Ltd,Deeside,Flintshire,Worker (A rating),Skilled Worker
Richter Associates (Exeter) Limited,Marlow,Unknown,Worker (A rating),Skilled Worker
Riverside Dental Centre Limited,Reading,Unknown,Worker (A rating),Skilled Worker
S&S Fashion Trading Limited,Bradford,Unknown,Worker (A rating),Skilled Worker
Sa Digital Services Cctv Ltd,Birmingham,Unknown,Worker (A rating),Skilled Worker
Sapio Sciences Uk Limited,London,Unknown,Worker (A rating),Skilled Worker
Sbm4S Limited,Johnstone,Unknown,Worker (A rating),Skilled Worker
Senkenken Limited,BISHOP'S STORTFORD,Unknown,Worker (A rating),Skilled Worker
Shakara Hospitality Ltd,London,Unknown,Worker (A rating),Skilled Worker
Sidelight Ai Limited,ST. ALBANS,Hertfordshire,Worker (A rating),Skilled Worker
Silent E Pictures Limited,London,Unknown,Worker (A rating),Skilled Worker
Site-Equip Ltd,Alton,Unknown,Worker (A rating),Skilled Worker
Sl Precision Engineers Ltd T/A Sl Plastics,Thetford,NORFOLK,Worker (A rating),Skilled Worker
Smoking Olive Ltd,Horsham,Unknown,Worker (A rating),Skilled Worker
Social Plus Europe Ltd,Uxbridge,Unknown,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Social Plus Europe Ltd,Uxbridge,Unknown,Worker (A rating),Skilled Worker
Solera Engineering Limited,Towcester,Unknown,Worker (A rating),Skilled Worker
Sor Energy Ltd,West Bromwich,Unknown,Worker (A rating),Skilled Worker
Spaced Digital Ltd,London,Unknown,Worker (A rating),Skilled Worker
Steamship Insurance Management Services Limited,London,Unknown,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Sudi Layton Ltd,Blackpool,Unknown,Worker (A rating),Skilled Worker
Symtrax Limited,London,Unknown,Worker (A rating),Skilled Worker
Talya Foods Ltd,COVENTRY,Unknown,Worker (A rating),Skilled Worker
Tech Edge Enterprises Ltd,Manchester,Unknown,Worker (A rating),Skilled Worker
Technista Ltd,Edinburgh,Unknown,Worker (A rating),Skilled Worker
Terralayr Uk Limited,London,Unknown,Worker (A rating),Skilled Worker
The Animation Station London Ltd T/A Myth Studio,London,Unknown,Worker (A rating),Skilled Worker
The Cathedral Church Of St Peter Bradford,Bradford,Unknown,Worker (A rating),Skilled Worker
The Eggfree Cakebox Blackburn Limited,Gravesend,Unknown,Worker (A rating),Skilled Worker
The Salted Olive Limited T/A Naira Indian And Bangladeshi Cuisine,Waltham Abbey,Unknown,Worker (A rating),Skilled Worker
The Swedish Church In London Ltd,London,Unknown,Temporary Worker (A rating),Charity Worker
The Webinar Vet,Liverpool,Merseyside,Worker (A rating),Skilled Worker
Third Man Records London Limited,London,Unknown,Worker (A rating),Skilled Worker
Top Notch Tyres (Uk) Ltd,London,Unknown,Worker (A rating),Skilled Worker
Tp Brickwork Ltd,Dartford,England,Worker (A rating),Skilled Worker
Travel Link Worldwide Limited,London,England,Worker (A rating),Skilled Worker
Trb Chemedica (Uk) Limited,Newcastle-under-Lyme,Staffordshire,Worker (A rating),Skilled Worker
Treetops Nursery Bootle,Bootle,Merseyside,Worker (A rating),Skilled Worker
V6 Auto Parts Ltd,BIRMINGHAM,Unknown,Worker (A rating),Skilled Worker
Vish Convenience Ltd,London,Unknown,Worker (A rating),Skilled Worker
Vittal Pharma Ltd,LONDON,Unknown,Worker (A rating),Skilled Worker
Vk Broâ??S Limited T/A The Ceylon Lounge,Swansea,Unknown,Worker (A rating),Skilled Worker
West 1 Health,London,Unknown,Worker (A rating),Skilled Worker
Westbourne News,Hardwicke,Unknown,Worker (A rating),Skilled Worker
Westfield Specialty Managing Agency Limited,London,Unknown,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Westfield Specialty Managing Agency Limited,London,Unknown,Worker (A rating),Skilled Worker
Wixot Studios Limited,London,Unknown,Worker (A rating),Skilled Worker
X3M Marketing Ideas Limited,London,Unknown,Worker (A rating),Skilled Worker
Yatizeel Limited,Colchester,Unknown,Worker (A rating),Skilled Worker
Yogi Accountex Ltd,Wembley,Unknown,Worker (A rating),Skilled Worker
Your Shortlist,Glasgow,Unknown,Worker (A rating),Skilled Worker
Zaina Enterprises Ltd T/A Premier Express,Glasgow,Unknown,Worker (A rating),Skilled Worker
Zalatimo Goods Ltd T/A Heavenly Desserts,Middlesbrough,Unknown,Worker (A rating),Skilled Worker
